📺央视频道,#genre#
CCTV1综合,http://hegd-livod.tx-cdn.gitv.tv/gitv_live/G_CCTV-1-HQ/G_CCTV-1-HQ.m3u8$源1
CCTV1综合,http://183.255.10.72:6610/200000001898/460000089800010144/1.m3u8?IASHttpSessionId=007$源2
CCTV1综合,http://183.255.10.72:6610/200000001898/460000089800010011/1.m3u8?IASHttpSessionId=007$源3
CCTV1综合,http://36.129.204.115:8243/hls/1001/index.m3u8$源4
CCTV1综合,http://111.196.135.75:8686/udp/239.3.1.129:8008$源5
CCTV1综合,http://[2001:250:5800:1005::155]:80/liverespath/d655e6a30c2b338fe76bdc1ecf72b7f1c373c33b/index.m3u8$源6
CCTV1综合,http://video.qd.sdu.edu.cn/liverespath/d655e6a30c2b338fe76bdc1ecf72b7f1c373c33b/index.m3u8$源7
CCTV1综合,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$源8
CCTV1综合,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$源9
CCTV1综合,http://bg5aqv.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$源10
CCTV1综合,http://112.123.206.32:808/hls/1/index.m3u8$源11
CCTV1综合,http://219.135.180.210:18888/hls/1/index.m3u8$源12
CCTV1综合,http://home.wwang.pw:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$源13
CCTV1综合,http://qqkkk.fun:35455/itv/1000000005000265001.m3u8?cdn=ystenlive$源14

CCTV2财经,http://120.234.5.29:6000/udp/239.20.0.197:2192
CCTV2财经,http://123.113.187.204:8000/rtp/239.3.1.60:8084
CCTV2财经,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2财经,https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv2_1/index.m3u8?
CCTV3综艺,http://ak6668768.zicp.io:8802/live1003.m3u8
CCTV3综艺,http://wouu.net:9977/udp/239.93.1.11:2223
CCTV3综艺,http://www.cdnstv.com:6398/hls/3/index.m3u8
CCTV4中文国际,http://111.196.135.75:8686/udp/239.3.1.105:8092
CCTV4中文国际,http://60.223.224.176:8888/newlive/live/hls/5/live.m3u8
CCTV4中文国际,http://8.210.74.247:35455/gaoma/cctv4.m3u8
CCTV4中文国际,http://cssbyd.imwork.net:8082/hls/4/index.m3u8
CCTV4中文国际,http://www.cdnstv.com:6398/hls/4/index.m3u8
CCTV4中文国际,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV5+体育赛事,http://123.113.187.204:8000/rtp/239.3.1.130:8004
CCTV5+体育赛事,http://125.82.171.210:8888/udp/235.254.199.121:7980
